iter	Passed	Remaining
432	1503	1968
433	1506	1964
434	1509	1960
435	1512	1956
436	1515	1952
437	1518	1948
438	1521	1944
439	1525	1940
440	1528	1937
441	1531	1933
442	1534	1929
443	1537	1925
444	1540	1921
445	1543	1917
446	1546	1913
447	1549	1909
448	1552	1905
449	1556	1901
450	1559	1898
451	1562	1894
452	1565	1890
453	1569	1886
454	1572	1883
455	1575	1879
456	1579	1876
457	1582	1872
458	1585	1868
459	1589	1865
460	1592	1861
461	1595	1858
462	1598	1854
463	1602	1850
464	1605	1847
465	1608	1843
466	1612	1840
467	1615	1836
468	1619	1833
469	1622	1830
470	1626	1826
471	1629	1823
472	1633	1819
473	1636	1815
474	1639	1812
475	1642	1808
476	1645	1804
477	1649	1800
478	1652	1797
479	1655	1793
480	1658	1789
481	1661	1785
482	1665	1782
483	1668	1778
484	1671	1774
485	1674	1771
486	1678	1767
487	1681	1763
488	1684	1760
489	1687	1756
490	1690	1752
491	1693	1748
492	1697	1745
493	1700	1741
494	1703	1737
495	1706	1733
496	1709	1730
497	1712	1726
498	1716	1722
499	1719	1719
500	1722	1715
501	1725	1711
502	1728	1707
503	1731	1704
504	1734	1700
505	1738	1697
506	1741	1693
507	1745	1690
508	1748	1686
509	1751	1682
510	1754	1679
511	1757	1675
512	1760	1671
513	1763	1667
514	1766	1664
515	1770	1660
516	1773	1656
517	1776	1653
518	1779	1649
519	1782	1645
520	1786	1642
521	1789	1638
522	1792	1634
523	1795	1631
524	1799	1627
525	1802	1623
526	1805	1620
527	1808	1616
528	1811	1612
529	1814	1609
530	1817	1605
531	1820	1601
532	1823	1598
533	1826	1594
534	1830	1590
535	1833	1586
536	1836	1583
537	1839	1579
538	1842	1575
539	1845	1572
540	1848	1568
541	1851	1564
542	1854	1561
543	1857	1557
544	1861	1553
545	1864	1549
546	1867	1546
547	1870	1542
548	1873	1538
549	1876	1535
550	1879	1531
551	1882	1528
552	1885	1524
553	1889	1520
554	1892	1517
555	1895	1513
556	1898	1510
557	1901	1506
558	1904	1502
559	1907	1498
560	1910	1495
561	1913	1491
562	1917	1488
563	1920	1484
564	1923	1480
565	1926	1477
566	1930	1474
567	1933	1470
568	1936	1467
569	1940	1463
570	1943	1460
571	1946	1456
572	1949	1452
573	1952	1449
574	1955	1445
575	1958	1441
576	1962	1438
577	1965	1434
578	1968	1431
579	1971	1427
580	1974	1423
581	1977	1420
582	1980	1416
583	1984	1413
584	1987	1409
585	1990	1406
586	1993	1402
587	1996	1398
588	1999	1395
589	2002	1391
590	2005	1388
591	2009	1384
592	2012	1381
593	2015	1377
594	2018	1373
595	2021	1370
596	2024	1366
597	2027	1363
598	2031	1359
599	2034	1356
600	2037	1352
601	2040	1348
602	2043	1345
603	2046	1341
604	2049	1338
605	2052	1334
606	2055	1330
607	2058	1327
608	2061	1323
609	2065	1320
610	2068	1316
611	2071	1313
612	2074	1309
613	2077	1306
614	2080	1302
615	2083	1299
616	2087	1295
617	2090	1291
618	2093	1288
619	2096	1284
620	2099	1281
621	2102	1277
622	2105	1274
623	2108	1270
624	2111	1266
625	2114	1263
626	2117	1259
627	2120	1256
628	2123	1252
629	2127	1249
630	2129	1245
631	2133	1242
632	2136	1238
633	2139	1234
634	2142	1231
635	2145	1227
636	2148	1224
637	2151	1220
638	2154	1217
639	2157	1213
640	2160	1210
641	2163	1206
642	2166	1203
643	2170	1199
644	2173	1196
645	2176	1192
646	2179	1189
647	2182	1185
648	2185	1181
649	2188	1178
650	2191	1174
651	2194	1171
652	2197	1167
653	2200	1164
654	2203	1160
655	2206	1157
656	2209	1153
657	2212	1150
658	2216	1146
659	2219	1143
660	2222	1139
661	2225	1136
662	2228	1132
663	2231	1129
664	2234	1125
665	2238	1122
666	2241	1118
667	2244	1115
668	2247	1112
669	2250	1108
670	2253	1105
671	2257	1101
672	2260	1098
673	2263	1094
674	2266	1091
675	2269	1087
676	2272	1084
677	2275	1080
678	2278	1077
679	2282	1073
680	2285	1070
681	2288	1067
682	2291	1063
683	2294	1060
684	2297	1056
685	2300	1053
686	2303	1049
687	2307	1046
688	2310	1042
689	2313	1039
690	2316	1035
691	2319	1032
692	2323	1029
693	2326	1025
694	2329	1022
695	2332	1018
696	2336	1015
697	2339	1012
698	2342	1008
699	2345	1005
700	2348	1001
701	2351	998
702	2354	994
703	2357	991
704	2361	987
705	2364	984
706	2367	981
707	2370	977
708	2373	974
709	2376	970
710	2379	967
711	2383	963
712	2386	960
713	2389	957
714	2392	953
715	2395	950
716	2398	946
717	2401	943
718	2404	939
719	2407	936
720	2411	932
721	2414	929
722	2417	926
723	2420	922
724	2423	919
725	2426	915
726	2429	912
727	2432	908
728	2435	905
729	2438	901
730	2441	898
731	2444	895
732	2447	891
733	2450	888
734	2453	884
735	2457	881
736	2460	877
737	2463	874
738	2466	871
739	2469	867
740	2472	864
741	2476	860
742	2479	857
743	2482	854
744	2485	850
745	2488	847
746	2491	843
747	2494	840
748	2497	837
749	2501	833
750	2504	830
751	2507	826
752	2510	823
753	2513	820
754	2516	816
755	2519	813
756	2522	809
757	2525	806
758	2528	803
759	2532	799
760	2535	796
761	2538	792
762	2541	789
763	2544	785
764	2547	782
765	2550	779
766	2553	775
767	2556	772
768	2559	768
769	2562	765
770	2566	762
771	2569	758
772	2572	755
773	2575	752
774	2578	748
775	2581	745
776	2584	741
777	2587	738
778	2590	734
779	2593	731
780	2596	728
781	2599	724
782	2603	721
783	2606	718
784	2609	714
785	2612	711
786	2615	707
787	2618	704
788	2621	701
789	2624	697
790	2627	694
791	2630	690
792	2633	687
793	2637	684
794	2640	680
795	2643	677
796	2646	674
797	2649	670
798	2652	667
799	2655	663
800	2658	660
801	2662	657
802	2665	653
803	2668	650
804	2671	647
805	2674	643
806	2677	640
807	2680	636
808	2683	633
809	2686	630
810	2689	626
811	2692	623
812	2696	620
813	2699	616
814	2702	613
815	2705	610
816	2708	606
817	2711	603
818	2714	599
819	2717	596
820	2720	593
821	2723	589
822	2727	586
823	2730	583
824	2733	579
825	2736	576
826	2739	573
827	2742	569
828	2745	566
829	2748	563
830	2751	559
831	2755	556
832	2758	552
833	2761	549
834	2764	546
835	2767	542
836	2770	539
837	2773	536
838	2776	532
839	2779	529
840	2782	526
841	2785	522
842	2788	519
843	2792	516
844	2794	512
845	2798	509
846	2801	505
847	2804	502
848	2807	499
849	2810	495
850	2813	492
851	2816	489
852	2819	485
853	2822	482
854	2825	479
855	2828	475
856	2832	472
857	2835	469
858	2838	465
859	2841	462
860	2844	459
861	2847	455
862	2850	452
863	2853	449
864	2857	445
865	2860	442
866	2863	439
867	2866	435
868	2869	432
869	2872	429
870	2875	425
871	2879	422
872	2882	419
873	2885	415
874	2888	412
875	2891	409
876	2894	405
877	2897	402
878	2900	399
879	2903	395
880	2907	392
881	2910	389
882	2913	386
883	2916	382
884	2919	379
885	2922	376
886	2925	372
887	2929	369
888	2932	366
889	2935	362
890	2938	359
891	2941	356
892	2944	352
893	2947	349
894	2950	346
895	2953	342
896	2957	339
897	2960	336
898	2963	332
899	2966	329
900	2969	326
901	2972	322
902	2976	319
903	2979	316
904	2982	313
905	2985	309
906	2988	306
907	2991	303
908	2994	299
909	2997	296
910	3000	293
911	3003	289
912	3007	286
913	3010	283
914	3013	279
915	3016	276
916	3019	273
917	3022	270
918	3025	266
919	3029	263
920	3032	260
921	3035	256
922	3038	253
923	3041	250
924	3044	246
925	3047	243
926	3050	240
927	3053	236
928	3057	233
929	3060	230
930	3063	227
931	3066	223
932	3069	220
933	3072	217
934	3075	213
935	3078	210
936	3081	207
937	3084	203
938	3087	200
939	3091	197
940	3094	194
941	3097	190
942	3100	187
943	3103	184
944	3106	180
945	3109	177
946	3113	174
947	3116	170
948	3119	167
949	3122	164
950	3125	161
951	3128	157
952	3132	154
953	3135	151
954	3138	147
955	3141	144
956	3145	141
957	3148	138
958	3151	134
959	3154	131
960	3158	128
961	3161	124
962	3164	121
963	3167	118
964	3171	115
965	3174	111
966	3177	108
967	3180	105
968	3183	101
969	3186	98
970	3189	95
971	3192	91
972	3195	88
973	3199	85
974	3202	82
975	3205	78
976	3208	75
977	3211	72
978	3214	68
979	3217	65
980	3220	62
981	3223	59
982	3226	55
983	3230	52
984	3233	49
985	3236	45
986	3239	42
987	3242	39
988	3245	36
989	3248	32
990	3251	29
991	3254	26
992	3257	22
993	3260	19
994	3263	16
995	3267	13
996	3270	9
997	3273	6
998	3276	3
999	3279	0
