iter	Logloss
0	0.6630894908
1	0.6367097367
2	0.6150563734
3	0.5984016764
4	0.5835832312
5	0.5708864602
6	0.5595729719
7	0.5517710558
8	0.5418700254
9	0.5355113219
10	0.5291822767
11	0.5231708164
12	0.5176990337
13	0.5128804355
14	0.509053338
15	0.5058189391
16	0.503714548
17	0.501090252
18	0.4984862543
19	0.4960394499
20	0.4944801442
21	0.4923768228
22	0.4908470421
23	0.4891674494
24	0.487768462
25	0.4858489971
26	0.484518883
27	0.4834119315
28	0.4820453047
29	0.4812389407
30	0.4805300757
31	0.4790385288
32	0.4780133234
33	0.4770950448
34	0.4761223775
35	0.4752432167
36	0.4745518209
37	0.4739082607
38	0.4734149763
39	0.4727840014
40	0.4723247635
41	0.4718301735
42	0.4712830917
43	0.4707170262
44	0.4700428455
45	0.4694887096
46	0.4689449195
47	0.4683378992
48	0.4679985236
49	0.4677452495
50	0.4674116815
51	0.4671583913
52	0.4668274329
53	0.4663134604
54	0.4655797408
55	0.4652668732
56	0.4645388372
57	0.463996065
58	0.4637464453
59	0.4634777188
60	0.463053115
61	0.4625356754
62	0.4621446094
63	0.4617692855
64	0.4615046516
65	0.461145722
66	0.4609104952
67	0.4605904065
68	0.4602185897
69	0.4598910504
70	0.4595323575
71	0.4590301591
72	0.4586461809
73	0.4583023239
74	0.4578789079
75	0.4578551726
76	0.4574472559
77	0.4570995006
78	0.4568495368
79	0.4564198901
80	0.4561556048
81	0.4555754373
82	0.4550864335
83	0.4547709585
84	0.4545706022
85	0.4542886393
86	0.4538794925
87	0.4536847644
88	0.4534832345
89	0.4530620864
90	0.4525827225
91	0.4522982492
92	0.4521084472
93	0.4518071814
94	0.4516874746
95	0.4513653785
96	0.4507257317
97	0.4504608245
98	0.4502341821
99	0.4499289435
100	0.4495352733
101	0.4493054974
102	0.4488541516
103	0.4484098733
104	0.4481157153
105	0.4474907961
106	0.4466122664
107	0.4459524014
108	0.4455148379
109	0.4449120174
110	0.4443327716
111	0.4437522498
112	0.4432438565
113	0.4429291017
114	0.4425759803
115	0.4421534996
116	0.4417264691
117	0.4413359793
118	0.4408454822
119	0.4402662027
120	0.4399069125
121	0.4396391163
122	0.439250967
123	0.4388932435
124	0.4383238407
125	0.4378385983
126	0.4373151437
127	0.4369276059
128	0.43647307
129	0.4359824872
130	0.4355547775
131	0.4351697905
132	0.4348040807
133	0.4344164797
134	0.434011451
135	0.4337344028
136	0.4331434697
137	0.4328802104
138	0.4324188851
139	0.4320375332
140	0.4318120138
141	0.4314482702
142	0.4311672783
143	0.430771026
144	0.4305627767
145	0.4301752681
146	0.4297836301
147	0.4295440308
148	0.4293437049
149	0.4291045306
150	0.4287893873
151	0.4284191769
152	0.4281811557
153	0.4278730673
154	0.4274993392
155	0.4268106607
156	0.4264204967
157	0.4261382954
158	0.425828961
159	0.4254077568
160	0.4248979528
161	0.424651793
162	0.4242294713
163	0.4238870597
164	0.4234486811
165	0.423223478
166	0.4229282228
167	0.4223866901
168	0.4220845702
169	0.4218608588
170	0.4214046131
171	0.4210267963
172	0.4206767867
173	0.4203603537
174	0.4200382481
175	0.4197115123
176	0.4193372154
177	0.419016649
178	0.4186186875
179	0.4183094712
180	0.4179324964
181	0.4175957215
182	0.4174799911
183	0.41713449
184	0.4168966215
185	0.4165886497
186	0.4162723283
187	0.4159775387
188	0.4157180273
189	0.415340568
190	0.4150528893
191	0.4147638177
192	0.414499905
193	0.4140041746
194	0.4136062348
195	0.4131813937
196	0.4128528063
197	0.4125692065
198	0.4121080398
199	0.4116948398
